function,experiment,log_scale,num_inputs,params,accuracy loss in bits,pk_time_ms,prover_time_ms,verifier_time_ms,proof_size
inv_exp,poly,16,100,"['inv_exp', 100, 5, 16]",4,6,100.4,3.61,7872 Bytes (7.6875 KiB)
inv_exp,poly,32,100,"['inv_exp', 100, 13, 32]",6,11,120.41,3.61,7872 Bytes (7.6875 KiB)
inv_exp,poly,64,100,"['inv_exp', 100, 21, 64]",8,17,175.74,4.04,8256 Bytes (8.0625 KiB)
inv_exp,poly,120,100,"['inv_exp', 100, 33, 120]",10,30,265.06,3.79,8640 Bytes (8.4375 KiB)
inv_exp,pade,16,100,"['inv_exp', 100, 3, 16]",2,6,97.55,3.82,7872 Bytes (7.6875 KiB)
inv_exp,pade,32,100,"['inv_exp', 100, 5, 32]",4,7,103.45,3.99,7872 Bytes (7.6875 KiB)
inv_exp,pade,64,100,"['inv_exp', 100, 8, 64]",4,10,120.07,3.64,7872 Bytes (7.6875 KiB)
inv_exp,pade,120,100,"['inv_exp', 100, 16, 120]",6,16,184.34,3.69,8256 Bytes (8.0625 KiB)
inv_exp,pwl,16,100,"['inv_exp', 100, 0.0, 1.0, 5, 16]",5,43,398.22,3.87,9024 Bytes (8.8125 KiB)
inv_exp,pwl,32,100,"['inv_exp', 100, 0.0, 1.0, 13, 32]",5,113,1150,4.29,9792 Bytes (9.5625 KiB)
inv_exp,pwl,64,100,"['inv_exp', 100, 0.0, 1.0, 13, 64]",5,FAILED,FAILED,FAILED,FAILED
inv_exp,pwl,120,100,"['inv_exp', 100, 0.0, 1.0, 13, 120]",5,FAILED,FAILED,FAILED,FAILED
inv_exp,gl_quad,16,100,"['inv_exp', 100, 4, 16]",4,6,108.61,3.6,7872 Bytes (7.6875 KiB)
inv_exp,gl_quad,32,100,"['inv_exp', 100, 8, 32]",4,11,152.97,3.69,8256 Bytes (8.0625 KiB)
inv_exp,gl_quad,64,100,"['inv_exp', 100, 16, 64]",4,20,248.84,4.04,8640 Bytes (8.4375 KiB)
inv_exp,gl_quad,120,100,"['inv_exp', 100, 30, 120]",4,45,431.28,4.13,9024 Bytes (8.8125 KiB)
inv_exp,lookup,16,100,"['inv_exp', 100, 8, 16]",1,6,103.63,3.75,7872 Bytes (7.6875 KiB)
inv_exp,lookup,32,100,"['inv_exp', 100, 8, 32]",3,9,146.48,3.83,8256 Bytes (8.0625 KiB)
inv_exp,lookup,64,100,"['inv_exp', 100, 8, 64]",5,15,230.03,4,8640 Bytes (8.4375 KiB)
inv_exp,lookup,120,100,"['inv_exp', 100, 8, 120]",7,27,281.72,3.95,8640 Bytes (8.4375 KiB)
sigmoid,poly,16,100,"['sigmoid', 100, 5, 16]",4,7,99.99,3.69,7872 Bytes (7.6875 KiB)
sigmoid,poly,32,100,"['sigmoid', 100, 13, 32]",6,11,121.28,4,7872 Bytes (7.6875 KiB)
sigmoid,poly,64,100,"['sigmoid', 100, 33, 64]",10,25,238.15,4.02,8640 Bytes (8.4375 KiB)
sigmoid,poly,120,100,"['sigmoid', 100, 69, 120]",12,58,434.15,4.18,9024 Bytes (8.8125 KiB)
sigmoid,pade,16,100,"['sigmoid', 100, 3, 16]",2,6,98.07,3.79,7872 Bytes (7.6875 KiB)
sigmoid,pade,32,100,"['sigmoid', 100, 5, 32]",4,7,103.48,3.85,7872 Bytes (7.6875 KiB)
sigmoid,pade,64,100,"['sigmoid', 100, 8, 64]",4,9,122.67,3.83,7872 Bytes (7.6875 KiB)
sigmoid,pade,120,100,"['sigmoid', 100, 13, 120]",6,15,179.9,3.93,8256 Bytes (8.0625 KiB)
sigmoid,pwl,16,100,"['sigmoid', 100, 0.0, 1.0, 3, 16]",5,49,418.11,4.15,9024 Bytes (8.8125 KiB)
sigmoid,pwl,32,100,"['sigmoid', 100, 0.0, 1.0, 11, 32]",5,62,658.96,4.22,9408 Bytes (9.1875 KiB)
sigmoid,pwl,64,100,"['sigmoid', 100, 0.0, 1.0, 13, 64]",5,FAILED,FAILED,FAILED,FAILED
sigmoid,pwl,120,100,"['sigmoid', 100, 0.0, 1.0, 13, 120]",5,FAILED,FAILED,FAILED,FAILED
sigmoid,gl_quad,16,100,"['sigmoid', 100, 4, 16]",4,6,108.92,3.82,7872 Bytes (7.6875 KiB)
sigmoid,gl_quad,32,100,"['sigmoid', 100, 8, 32]",4,9,125.97,3.86,7872 Bytes (7.6875 KiB)
sigmoid,gl_quad,64,100,"['sigmoid', 100, 16, 64]",4,19,243.13,4.01,8640 Bytes (8.4375 KiB)
sigmoid,gl_quad,120,100,"['sigmoid', 100, 29, 120]",4,41,409.03,4.13,9024 Bytes (8.8125 KiB)
sigmoid,lookup,16,100,"['sigmoid', 100, 8, 16]",1,6,105.3,3.89,7872 Bytes (7.6875 KiB)
sigmoid,lookup,32,100,"['sigmoid', 100, 8, 32]",3,9,147.79,3.96,8256 Bytes (8.0625 KiB)
sigmoid,lookup,64,100,"['sigmoid', 100, 8, 64]",5,16,228.2,4.07,8640 Bytes (8.4375 KiB)
sigmoid,lookup,120,100,"['sigmoid', 100, 8, 120]",7,28,285.41,4.06,8640 Bytes (8.4375 KiB)
gelu,poly,16,100,"['gelu', 100, 9, 16]",6,9,105.33,3.92,7872 Bytes (7.6875 KiB)
